set;model;epochs;loss;accuracy;val_loss;val_accuracy
FacesUCR;cnn;20;1.0255;0.7800;2.8294;0.1434
FacesUCR;cnn;100;0.2122;0.9900;1.2333;0.6917
FacesUCR;cnn;500;0.0080;1.0000;0.2572;0.9268
FacesUCR;cnn;1000;0.0040;1.0000;0.2082;0.9459
FacesUCR;resnet;20;0.2016;0.9900;2.5410;0.1956
FacesUCR;resnet;100;0.0324;1.0000;1.0531;0.7137
FacesUCR;resnet;500;0.0020;1.0000;0.2108;0.9468
FacesUCR;resnet;1000;5.5991e-04;1.0000;0.1884;0.9551
FacesUCR;encoder;20;1.9945;0.6300;2.1375;0.4600
FacesUCR;encoder;100;0.3499;0.9750;0.9240;0.7834
FacesUCR;encoder;500;0.0093;1.0000;0.5145;0.8546
FacesUCR;encoder;1000;0.0015;1.0000;0.4631;0.8663
FiftyWords;inception;20;1.3091;0.6933;3.2036;0.2176
FiftyWords;inception;100;0.0371;1.0000;8.7852;0.1978
FiftyWords;inception;500;0.0013;1.0000;0.8334;0.7934
FiftyWords;inception;1000;6.8537e-04;1.0000;0.8006;0.8022
FiftyWords;cnn;20;2.4283;0.3311;5.0758;0.2176
FiftyWords;cnn;100;1.4862;0.5844;1.7936;0.4857
FiftyWords;cnn;500;0.2842;0.9556;1.8313;0.5077
FiftyWords;cnn;1000;0.0840;0.9978;1.3259;0.6549
FiftyWords;resnet;20;1.6266;0.5378;3.7813;0.2176
FiftyWords;resnet;100;0.1390;0.9911;1.3146;0.6352
FiftyWords;resnet;500;0.0321;0.9978;1.6277;0.6242
FiftyWords;resnet;1000;0.0061;1.0000;1.2690;0.6791
FiftyWords;encoder;20;2.0460;0.5044;2.2789;0.4330
FiftyWords;encoder;100;0.2391;0.9867;1.4789;0.6330
FiftyWords;encoder;500;0.0048;1.0000;1.4390;0.6791
FiftyWords;encoder;1000;3.9550e-04;1.0000;1.5902;0.6923
Fish;inception;20;0.7304;0.8514;2.1410;0.1429
Fish;inception;100;0.0142;1.0000;7.9477;0.1257
Fish;inception;500;4.7917e-04;1.0000;2.3103;0.5314
Fish;inception;1000;4.3263e-04;1.0000;0.3309;0.9771
Fish;cnn;20;1.5057;0.6971;3.3331;0.1429
Fish;cnn;100;0.5132;0.9429;12.2443;0.1429
Fish;cnn;500;0.0484;1.0000;1.3690;0.6171
Fish;cnn;1000;0.0113;1.0000;0.3574;0.9657
Fish;resnet;20;0.4023;0.9371;2.0340;0.1600
Fish;resnet;100;0.0238;1.0000;5.8109;0.1429
Fish;resnet;500;0.0012;1.0000;0.1775;0.9829
Fish;resnet;1000;5.3377e-04;1.0000;0.1612;0.9771
Fish;encoder;20;1.5465;0.5714;1.5700;0.4686
Fish;encoder;100;0.2770;0.9429;0.4482;0.8343
Fish;encoder;500;0.0099;1.0000;0.3107;0.8800
Fish;encoder;1000;0.0013;1.0000;0.3132;0.8914
FordA;inception;20;0.1024;0.9661;0.1514;0.9348
FordA;inception;100;0.0643;0.9747;0.1850;0.9432
FordA;inception;500;0.0025;1.0000;0.2122;0.9515
FordA;inception;1000;2.1609e-04;1.0000;0.2204;0.9470
FordA;cnn;20;0.2312;0.9039;0.2636;0.8909
FordA;cnn;100;0.1721;0.9322;0.2115;0.9174
FordA;cnn;500;0.0436;0.9867;0.2592;0.9053
FordA;cnn;1000;0.0072;0.9992;0.2894;0.9258
FordA;resnet;20;0.1475;0.9422;0.1897;0.9333
FordA;resnet;100;0.0112;0.9978;0.2669;0.9280
FordA;resnet;500;2.8562e-05;1.0000;0.3638;0.9402
FordA;resnet;1000;6.0429e-05;1.0000;0.4165;0.9356
FordA;encoder;20;0.1514;0.9439;0.1678;0.9379
FordA;encoder;100;0.0120;0.9981;0.1761;0.9386
FordA;encoder;500;1.1027e-04;1.0000;0.2802;0.9348
FordA;encoder;1000;2.2868e-05;1.0000;0.3110;0.9379
FordB;inception;20;0.0673;0.9785;0.4579;0.7889
FordB;inception;100;0.0073;0.9975;0.8544;0.8136
FordB;inception;500;3.8760e-04;1.0000;0.8361;0.8481
FordB;inception;1000;4.9542e-05;1.0000;0.8260;0.8494
FordB;cnn;20;0.2304;0.9109;0.5950;0.6593
FordB;cnn;100;0.1670;0.9323;0.5580;0.7642
FordB;cnn;500;0.0559;0.9796;0.8098;0.7617
FordB;cnn;1000;0.0025;1.0000;1.0357;0.7778
FordB;resnet;20;0.1374;0.9491;0.4344;0.8037
FordB;resnet;100;3.9058e-04;1.0000;0.8463;0.8025
FordB;resnet;500;9.2617e-06;1.0000;1.1666;0.8123
FordB;resnet;1000;1.3342e-06;1.0000;1.3606;0.8160
FordB;encoder;20;0.1270;0.9505;0.4658;0.7975
FordB;encoder;100;0.0085;0.9989;0.7095;0.7741
FordB;encoder;500;9.1874e-05;1.0000;1.0754;0.7901
FordB;encoder;1000;1.5211e-05;1.0000;1.2731;0.7877
GunPoint;inception;20;0.0326;1.0000;0.6965;0.5000
GunPoint;inception;100;0.0029;1.0000;0.4962;0.7467
GunPoint;inception;500;3.0456e-04;1.0000;0.0262;0.9867
GunPoint;inception;1000;7.3151e-04;1.0000;0.0204;0.9867
GunPoint;cnn;20;0.3822;0.8600;0.6849;0.5267
GunPoint;cnn;100;0.0517;1.0000;2.5629;0.5067
GunPoint;cnn;500;0.0042;1.0000;5.9391;0.5067
GunPoint;cnn;1000;0.0013;1.0000;0.0454;0.9867
GunPoint;resnet;20;0.0463;1.0000;0.6879;0.5267
GunPoint;resnet;100;5.5013e-04;1.0000;1.8878;0.5067
GunPoint;resnet;500;1.4319e-04;1.0000;0.1523;0.9533
GunPoint;resnet;1000;6.1566e-05;1.0000;0.0076;0.9933
GunPoint;encoder;20;0.5084;0.9400;0.5464;0.8667
GunPoint;encoder;100;0.1487;0.9600;0.2236;0.9600
GunPoint;encoder;500;0.0023;1.0000;0.0322;0.9867
GunPoint;encoder;1000;3.6097e-04;1.0000;0.0242;0.9867
Ham;inception;20;0.0596;0.9908;2.2929;0.5143
Ham;inception;100;7.0480e-04;1.0000;3.8690;0.5143
Ham;inception;500;2.2536e-04;1.0000;1.7233;0.6190
Ham;inception;1000;1.0831e-04;1.0000;0.8677;0.7238
Ham;cnn;20;0.4726;0.8349;0.7164;0.5143
Ham;cnn;100;0.2006;0.9541;0.6415;0.6571
Ham;cnn;500;0.0249;1.0000;0.8835;0.6667
Ham;cnn;1000;0.0103;1.0000;1.1288;0.6286
Ham;resnet;20;0.1521;0.9450;0.6899;0.5143
Ham;resnet;100;0.0113;1.0000;2.9614;0.5143
Ham;resnet;500;0.0010;1.0000;0.8128;0.7524
Ham;resnet;1000;5.0047e-04;1.0000;1.0676;0.7619
Ham;encoder;20;0.5457;0.8165;0.5928;0.6571
Ham;encoder;100;0.1319;0.9541;0.5892;0.7048
Ham;encoder;500;0.0020;1.0000;1.0058;0.7143
Ham;encoder;1000;9.3197e-04;1.0000;1.1316;0.7143
HandOutlines;inception;20;0.4891;0.7570;4.4248;0.3595
HandOutlines;inception;100;0.1618;0.9460;0.9197;0.6757
HandOutlines;inception;500;0.0030;1.0000;0.1802;0.9568
HandOutlines;inception;1000;4.0286e-04;1.0000;0.1923;0.9676
HandOutlines;cnn;20;0.6255;0.6910;1.0698;0.6405
HandOutlines;cnn;100;0.6100;0.6960;1.3007;0.6405
HandOutlines;cnn;500;0.4064;0.8360;4.0489;0.6432
HandOutlines;cnn;1000;0.2898;0.9000;0.8199;0.6730
HandOutlines;resnet;20;0.5231;0.7530;2.9624;0.3595
HandOutlines;resnet;100;0.4702;0.7850;0.7123;0.5676
HandOutlines;resnet;500;0.0245;0.9970;0.8483;0.7486
HandOutlines;resnet;1000;5.2723e-04;1.0000;0.3842;0.9297
HandOutlines;encoder;20;0.3048;0.8810;0.3023;0.9000
HandOutlines;encoder;100;0.1772;0.9330;0.2316;0.9135
HandOutlines;encoder;500;0.0319;0.9930;0.3931;0.9243
HandOutlines;encoder;1000;0.0085;0.9970;0.4961;0.9243
Haptics;inception;20;0.9089;0.6839;2.7594;0.2078
Haptics;inception;100;0.0418;1.0000;19.6200;0.2078
Haptics;inception;500;0.0029;1.0000;6.8451;0.2565
Haptics;inception;1000;0.0015;1.0000;1.8139;0.5649
Haptics;cnn;20;1.4023;0.4323;1.8642;0.2078
Haptics;cnn;100;1.1783;0.5742;3.1074;0.2175
Haptics;cnn;500;0.5972;0.8516;3.3168;0.2630
Haptics;cnn;1000;0.1716;0.9871;1.7392;0.4805
Haptics;resnet;20;1.1519;0.6065;1.6890;0.2078
Haptics;resnet;100;0.3479;0.9290;2.8682;0.2305
Haptics;resnet;500;0.0036;1.0000;1.9161;0.5000
Haptics;resnet;1000;0.0028;1.0000;1.9536;0.5260
Haptics;encoder;20;1.3900;0.5097;1.6038;0.3766
Haptics;encoder;100;0.6525;0.7806;1.5425;0.4740
Haptics;encoder;500;0.0229;1.0000;2.4054;0.4545
Haptics;encoder;1000;0.0044;1.0000;2.8896;0.4513
Herring;inception;20;0.2884;0.9219;0.6928;0.5938
Herring;inception;100;0.0086;1.0000;3.6360;0.5938
Herring;inception;500;5.0260e-04;1.0000;1.2658;0.7188
Herring;inception;1000;4.7170e-04;1.0000;1.5145;0.6562
Herring;cnn;20;0.6301;0.6094;0.6848;0.5938
Herring;cnn;100;0.4520;0.8750;0.9379;0.4062
Herring;cnn;500;0.0971;1.0000;3.6219;0.5938
Herring;cnn;1000;0.0126;1.0000;0.9251;0.6406
Herring;resnet;20;0.4460;0.8438;0.7012;0.4062
Herring;resnet;100;0.0334;1.0000;3.9198;0.4062
Herring;resnet;500;8.2981e-04;1.0000;4.6126;0.5938
Herring;resnet;1000;4.5871e-04;1.0000;1.1353;0.6250
Herring;encoder;20;0.6633;0.6094;0.6656;0.5938
Herring;encoder;100;0.4927;0.7969;0.6865;0.5469
Herring;encoder;500;0.0380;1.0000;1.5719;0.4531
Herring;encoder;1000;0.0020;1.0000;2.0462;0.4375
InlineSkate;inception;20;1.2441;0.6000;2.4161;0.1527
InlineSkate;inception;100;0.3078;0.9500;6.2044;0.1527
InlineSkate;inception;500;0.0034;1.0000;32.8307;0.1527
InlineSkate;inception;1000;0.0011;1.0000;2.1989;0.4818
InlineSkate;cnn;20;1.7534;0.3200;1.9402;0.1545
InlineSkate;cnn;100;1.5696;0.4200;2.8353;0.1618
InlineSkate;cnn;500;0.8828;0.7100;7.2117;0.1091
InlineSkate;cnn;1000;0.4606;0.9000;3.1582;0.2527
InlineSkate;resnet;20;1.4380;0.5000;1.9812;0.0927
InlineSkate;resnet;100;0.6861;0.8100;5.2163;0.1564
InlineSkate;resnet;500;0.0233;1.0000;4.7427;0.1927
InlineSkate;resnet;1000;0.0077;1.0000;2.5764;0.4000
InlineSkate;encoder;20;1.7895;0.2900;1.8956;0.1945
InlineSkate;encoder;100;0.8022;0.7500;2.3443;0.2418
InlineSkate;encoder;500;0.0370;1.0000;3.8182;0.2655
InlineSkate;encoder;1000;0.0039;1.0000;4.6093;0.2618
InsectWingbeatSound;inception;20;0.7995;0.7818;2.1899;0.1303
InsectWingbeatSound;inception;100;0.0167;1.0000;8.2256;0.1768
InsectWingbeatSound;inception;500;0.0016;1.0000;2.5886;0.5783
InsectWingbeatSound;inception;1000;0.0012;1.0000;1.6298;0.6212
InsectWingbeatSound;cnn;20;1.8634;0.3818;2.4508;0.1035
InsectWingbeatSound;cnn;100;1.2396;0.6273;2.8578;0.1515
InsectWingbeatSound;cnn;500;0.2130;0.9591;5.1915;0.2273
InsectWingbeatSound;cnn;1000;0.0160;1.0000;2.4945;0.3934
InsectWingbeatSound;resnet;20;1.0771;0.7045;2.4327;0.0869
InsectWingbeatSound;resnet;100;0.0405;1.0000;2.6714;0.2955
InsectWingbeatSound;resnet;500;0.0020;1.0000;1.8953;0.4808
InsectWingbeatSound;resnet;1000;0.0012;1.0000;1.9189;0.4788
InsectWingbeatSound;encoder;20;1.4245;0.5955;1.5943;0.5298
InsectWingbeatSound;encoder;100;0.4754;0.8773;1.1565;0.6015
InsectWingbeatSound;encoder;500;0.0273;0.9955;1.3704;0.6096
InsectWingbeatSound;encoder;1000;0.0035;1.0000;1.5866;0.6126
ItalyPowerDemand;inception;20;0.0350;0.9851;0.3437;0.9485
ItalyPowerDemand;inception;100;3.2778e-04;1.0000;0.3779;0.8552
ItalyPowerDemand;inception;500;9.2002e-05;1.0000;0.1561;0.9660
ItalyPowerDemand;inception;1000;1.2221e-04;1.0000;0.1820;0.9650
ItalyPowerDemand;cnn;20;0.0885;0.9701;0.5869;0.8202
ItalyPowerDemand;cnn;100;0.0337;1.0000;1.8767;0.5015
ItalyPowerDemand;cnn;500;0.0018;1.0000;0.1587;0.9592
ItalyPowerDemand;cnn;1000;8.9693e-04;1.0000;0.1812;0.9572
ItalyPowerDemand;resnet;20;0.0175;0.9851;0.6016;0.8047
ItalyPowerDemand;resnet;100;0.0022;1.0000;3.4669;0.5015
ItalyPowerDemand;resnet;500;3.2387e-04;1.0000;0.1897;0.9640
ItalyPowerDemand;resnet;1000;1.9589e-04;1.0000;0.1924;0.9660
ItalyPowerDemand;encoder;20;0.5479;0.9552;0.5207;0.9582
ItalyPowerDemand;encoder;100;0.1259;0.9851;0.1430;0.9689
ItalyPowerDemand;encoder;500;0.0321;0.9851;0.1059;0.9718
ItalyPowerDemand;encoder;1000;0.0093;1.0000;0.1302;0.9718
LargeKitchenAppliances;inception;20;0.0797;0.9947;1.5554;0.4853
LargeKitchenAppliances;inception;100;0.0048;1.0000;1.2768;0.5440
LargeKitchenAppliances;inception;500;3.0961e-04;1.0000;0.5856;0.9013
LargeKitchenAppliances;inception;1000;1.6393e-04;1.0000;0.6373;0.9013
LargeKitchenAppliances;cnn;20;0.4787;0.8613;1.0716;0.4240
LargeKitchenAppliances;cnn;100;0.1574;0.9627;0.5430;0.8613
LargeKitchenAppliances;cnn;500;0.0599;0.9813;5.5453;0.4213
LargeKitchenAppliances;cnn;1000;0.0013;1.0000;0.5649;0.8907
LargeKitchenAppliances;resnet;20;0.1293;0.9707;1.4259;0.3413
LargeKitchenAppliances;resnet;100;0.0216;0.9973;0.5849;0.8400
LargeKitchenAppliances;resnet;500;0.0018;1.0000;0.6218;0.8987
LargeKitchenAppliances;resnet;1000;2.1818e-04;1.0000;0.6669;0.8960
LargeKitchenAppliances;encoder;20;0.6837;0.7653;1.1270;0.4453
LargeKitchenAppliances;encoder;100;0.0962;0.9947;1.5036;0.4720
LargeKitchenAppliances;encoder;500;0.0031;1.0000;2.0028;0.5360
LargeKitchenAppliances;encoder;1000;7.5033e-04;1.0000;2.3927;0.5520
Lightning2;inception;20;0.0851;1.0000;1.6908;0.4590
Lightning2;inception;100;0.0070;1.0000;2.1016;0.5410
Lightning2;inception;500;3.7593e-04;1.0000;1.2950;0.6885
Lightning2;inception;1000;1.8053e-04;1.0000;0.6991;0.7869
Lightning2;cnn;20;0.3953;0.8167;0.6626;0.5574
Lightning2;cnn;100;0.0673;1.0000;2.8020;0.5410
Lightning2;cnn;500;0.0027;1.0000;1.9783;0.6393
Lightning2;cnn;1000;0.0021;1.0000;1.1707;0.7541
Lightning2;resnet;20;0.1239;0.9833;0.6580;0.6721
Lightning2;resnet;100;0.0100;1.0000;1.2043;0.6557
Lightning2;resnet;500;1.6215e-04;1.0000;1.9305;0.6066
Lightning2;resnet;1000;4.5187e-04;1.0000;0.9967;0.7705
Lightning2;encoder;20;0.5617;0.7833;0.6526;0.6721
Lightning2;encoder;100;0.1256;1.0000;0.6410;0.6721
Lightning2;encoder;500;0.0025;1.0000;0.8673;0.6393
Lightning2;encoder;1000;7.6250e-04;1.0000;0.9152;0.6885
Lightning7;inception;20;0.2725;0.9714;1.7410;0.3014
Lightning7;inception;100;0.0080;1.0000;2.1942;0.3288
Lightning7;inception;500;3.4485e-04;1.0000;0.7391;0.8356
Lightning7;inception;1000;9.0834e-04;1.0000;0.7925;0.8082
Lightning7;cnn;20;1.0275;0.6000;1.6521;0.3699
Lightning7;cnn;100;0.7091;0.7286;4.0062;0.1644
Lightning7;cnn;500;0.1169;1.0000;0.6915;0.7260
Lightning7;cnn;1000;0.0307;1.0000;0.5455;0.7945
Lightning7;resnet;20;0.7642;0.7857;1.7193;0.3151
Lightning7;resnet;100;0.1753;0.9714;2.9220;0.1233
Lightning7;resnet;500;0.0108;1.0000;0.4585;0.8219
Lightning7;resnet;1000;0.0026;1.0000;0.5117;0.8493
Lightning7;encoder;20;1.6834;0.6429;1.8107;0.4932
Lightning7;encoder;100;0.3758;0.9714;1.4169;0.5205
Lightning7;encoder;500;0.0067;1.0000;1.6216;0.5616
Lightning7;encoder;1000;0.0014;1.0000;1.7808;0.5616
Mallat;inception;20;0.5059;0.9455;2.3919;0.1267
Mallat;inception;100;0.0361;1.0000;5.2675;0.1241
Mallat;inception;500;0.0014;1.0000;2.3775;0.4452
Mallat;inception;1000;7.3383e-04;1.0000;0.1111;0.9625
Mallat;cnn;20;1.5294;0.6364;2.0628;0.1539
Mallat;cnn;100;0.5739;0.9273;4.1754;0.1245
Mallat;cnn;500;0.0210;1.0000;10.0758;0.1241
Mallat;cnn;1000;0.0155;1.0000;0.1129;0.9748
Mallat;resnet;20;0.5031;0.9273;2.0755;0.1241
Mallat;resnet;100;0.0290;1.0000;3.9968;0.1245
Mallat;resnet;500;0.0016;1.0000;12.3750;0.1241
Mallat;resnet;1000;0.0013;1.0000;0.1375;0.9608
Mallat;encoder;20;1.6040;0.5818;1.5703;0.4870
Mallat;encoder;100;0.1932;0.9818;0.3129;0.8674
Mallat;encoder;500;0.0066;1.0000;0.2402;0.9292
Mallat;encoder;1000;0.0011;1.0000;0.2565;0.9339
Meat;inception;20;0.5378;0.7000;3.6800;0.3333
Meat;inception;100;0.0536;1.0000;16.2503;0.3333
Meat;inception;500;0.0016;1.0000;12.9352;0.6000
Meat;inception;1000;0.0022;1.0000;0.3376;0.8833
Meat;cnn;20;0.8963;0.6833;1.1032;0.3333
Meat;cnn;100;0.4325;0.9500;3.4018;0.3333
Meat;cnn;500;0.0639;1.0000;44.8720;0.3333
Meat;cnn;1000;0.0108;1.0000;3.9412;0.6000
Meat;resnet;20;0.4184;0.9000;1.1006;0.3333
Meat;resnet;100;0.0275;1.0000;2.8921;0.3333
Meat;resnet;500;6.7870e-04;1.0000;12.0809;0.3333
Meat;resnet;1000;0.0013;1.0000;0.1224;0.9333
Meat;encoder;20;1.1072;0.2667;1.0885;0.3333
Meat;encoder;100;0.9758;0.5667;0.9414;0.6500
Meat;encoder;500;0.2785;0.9333;0.4924;0.8333
Meat;encoder;1000;0.1420;0.9333;0.4468;0.8500
MedicalImages;inception;20;0.3074;0.9055;1.7113;0.3461
MedicalImages;inception;100;0.0538;0.9790;1.6713;0.5658
MedicalImages;inception;500;5.9343e-04;1.0000;1.0221;0.7803
MedicalImages;inception;1000;3.5567e-04;1.0000;1.0486;0.7776
MedicalImages;cnn;20;0.7803;0.7218;1.9979;0.5145
MedicalImages;cnn;100;0.3328;0.8845;0.7122;0.7211
MedicalImages;cnn;500;0.0611;0.9790;0.9420;0.7711
MedicalImages;cnn;1000;0.0129;0.9974;0.9144;0.7763
MedicalImages;resnet;20;0.3339;0.8819;1.8519;0.5066
MedicalImages;resnet;100;0.0409;0.9895;0.8954;0.7500
MedicalImages;resnet;500;7.8021e-04;1.0000;1.1163;0.7618
MedicalImages;resnet;1000;0.0011;1.0000;1.1924;0.7500
MedicalImages;encoder;20;1.2351;0.5827;1.3936;0.5342
MedicalImages;encoder;100;0.4873;0.8635;0.8258;0.6895
MedicalImages;encoder;500;0.1020;0.9711;0.7094;0.7671
MedicalImages;encoder;1000;0.0205;0.9974;0.7943;0.7750
MiddlePhalanxOutlineAgeGroup;inception;20;0.4065;0.8225;1.1366;0.2468
MiddlePhalanxOutlineAgeGroup;inception;100;0.1993;0.9325;12.3326;0.1883
MiddlePhalanxOutlineAgeGroup;inception;500;4.0296e-04;1.0000;3.3231;0.5325
MiddlePhalanxOutlineAgeGroup;inception;1000;2.2551e-04;1.0000;3.3012;0.5390
MiddlePhalanxOutlineAgeGroup;cnn;20;0.4724;0.8025;5.1256;0.2403
MiddlePhalanxOutlineAgeGroup;cnn;100;0.4068;0.8250;1.7503;0.3052
MiddlePhalanxOutlineAgeGroup;cnn;500;0.2044;0.9175;2.5024;0.5649
MiddlePhalanxOutlineAgeGroup;cnn;1000;0.0098;0.9975;2.8024;0.5260
MiddlePhalanxOutlineAgeGroup;resnet;20;0.4117;0.8425;9.3205;0.2403
MiddlePhalanxOutlineAgeGroup;resnet;100;0.1795;0.9425;1.6094;0.5390
MiddlePhalanxOutlineAgeGroup;resnet;500;4.9750e-04;1.0000;2.7285;0.5909
MiddlePhalanxOutlineAgeGroup;resnet;1000;2.0339e-04;1.0000;2.8626;0.5779
MiddlePhalanxOutlineAgeGroup;encoder;20;0.4886;0.7875;0.8833;0.6299
MiddlePhalanxOutlineAgeGroup;encoder;100;0.4343;0.8150;0.9500;0.5779
MiddlePhalanxOutlineAgeGroup;encoder;500;0.3504;0.8550;1.1132;0.5455
MiddlePhalanxOutlineAgeGroup;encoder;1000;0.2589;0.9100;1.4761;0.5325
MiddlePhalanxOutlineCorrect;inception;20;0.2414;0.9017;2.9711;0.4296
MiddlePhalanxOutlineCorrect;inception;100;0.0695;0.9717;8.2759;0.4296
MiddlePhalanxOutlineCorrect;inception;500;1.7288e-04;1.0000;0.8713;0.7973
MiddlePhalanxOutlineCorrect;inception;1000;2.3772e-04;1.0000;0.9903;0.8179
MiddlePhalanxOutlineCorrect;cnn;20;0.5648;0.7417;10.0729;0.4296
MiddlePhalanxOutlineCorrect;cnn;100;0.3327;0.8533;1.4615;0.4536
MiddlePhalanxOutlineCorrect;cnn;500;0.0618;0.9783;1.0482;0.7595
MiddlePhalanxOutlineCorrect;cnn;1000;0.0137;0.9950;1.2796;0.7285
MiddlePhalanxOutlineCorrect;resnet;20;0.3304;0.8667;7.8194;0.4296
MiddlePhalanxOutlineCorrect;resnet;100;0.0575;0.9800;0.9947;0.7388
MiddlePhalanxOutlineCorrect;resnet;500;1.5549e-04;1.0000;0.6738;0.8385
MiddlePhalanxOutlineCorrect;resnet;1000;2.2810e-05;1.0000;0.6766;0.8385
MiddlePhalanxOutlineCorrect;encoder;20;0.5547;0.7450;0.6429;0.6048
MiddlePhalanxOutlineCorrect;encoder;100;0.3715;0.8433;0.4622;0.8041
MiddlePhalanxOutlineCorrect;encoder;500;0.2313;0.9117;0.4593;0.8282
MiddlePhalanxOutlineCorrect;encoder;1000;0.1512;0.9333;0.5342;0.8110
MiddlePhalanxTW;inception;20;0.8107;0.6667;1.7669;0.1623
MiddlePhalanxTW;inception;100;0.0651;0.9925;25.2219;0.1623
MiddlePhalanxTW;inception;500;4.8104e-04;1.0000;2.6942;0.5130
MiddlePhalanxTW;inception;1000;8.8014e-04;1.0000;2.7752;0.5065
MiddlePhalanxTW;cnn;20;0.9085;0.6416;4.6915;0.2727
MiddlePhalanxTW;cnn;100;0.8637;0.6566;1.5976;0.3117
MiddlePhalanxTW;cnn;500;0.2806;0.9173;1.8268;0.4351
MiddlePhalanxTW;cnn;1000;0.0056;1.0000;2.5525;0.5519
MiddlePhalanxTW;resnet;20;0.8896;0.6341;8.3733;0.1623
MiddlePhalanxTW;resnet;100;0.5120;0.8070;2.6793;0.2013
MiddlePhalanxTW;resnet;500;0.0021;1.0000;2.8788;0.4740
MiddlePhalanxTW;resnet;1000;8.2452e-04;1.0000;2.7344;0.5195
MiddlePhalanxTW;encoder;20;0.9536;0.6216;1.0608;0.5584
MiddlePhalanxTW;encoder;100;0.8640;0.6416;1.0240;0.5779
MiddlePhalanxTW;encoder;500;0.7251;0.7168;1.0865;0.5390
MiddlePhalanxTW;encoder;1000;0.5428;0.7895;1.2446;0.5325
MoteStrain;inception;20;0.0063;1.0000;1.2937;0.4569
MoteStrain;inception;100;0.0054;1.0000;0.5484;0.7348
MoteStrain;inception;500;0.0017;1.0000;0.3801;0.8890
MoteStrain;inception;1000;7.4874e-04;1.0000;0.4229;0.8970
MoteStrain;cnn;20;0.0936;1.0000;0.5888;0.8570
MoteStrain;cnn;100;0.0071;1.0000;0.5545;0.7476
MoteStrain;cnn;500;0.0029;1.0000;0.2318;0.9273
MoteStrain;cnn;1000;4.9267e-04;1.0000;0.2603;0.9265
MoteStrain;resnet;20;0.0293;1.0000;0.5909;0.8722
MoteStrain;resnet;100;0.0080;1.0000;0.5701;0.6901
MoteStrain;resnet;500;1.0497e-04;1.0000;0.2490;0.9233
MoteStrain;resnet;1000;2.2677e-04;1.0000;0.2511;0.9233
MoteStrain;encoder;20;0.5710;0.9500;0.6052;0.8123
MoteStrain;encoder;100;0.1584;1.0000;0.4056;0.8259
MoteStrain;encoder;500;0.0044;1.0000;0.3576;0.8307
MoteStrain;encoder;1000;6.9351e-04;1.0000;0.3679;0.8283
NonInvasiveFetalECGThorax1;inception;20;1.2574;0.7678;23.3927;0.0260
NonInvasiveFetalECGThorax1;inception;100;0.3426;0.9244;0.7391;0.7537
NonInvasiveFetalECGThorax1;inception;500;0.0746;0.9839;0.2522;0.9206
NonInvasiveFetalECGThorax1;inception;1000;0.0228;0.9994;0.1542;0.9466
NonInvasiveFetalECGThorax1;cnn;20;2.0733;0.4878;3.2096;0.0723
NonInvasiveFetalECGThorax1;cnn;100;0.6205;0.8478;0.8539;0.7018
NonInvasiveFetalECGThorax1;cnn;500;0.1370;0.9628;0.8656;0.7583
NonInvasiveFetalECGThorax1;cnn;1000;0.0384;0.9956;0.2283;0.9333
NonInvasiveFetalECGThorax1;resnet;20;0.6204;0.8583;1.8200;0.4356
NonInvasiveFetalECGThorax1;resnet;100;0.1422;0.9628;0.3936;0.8631
NonInvasiveFetalECGThorax1;resnet;500;0.0033;1.0000;0.1608;0.9506
NonInvasiveFetalECGThorax1;resnet;1000;0.0038;0.9994;0.1934;0.9384
NonInvasiveFetalECGThorax1;encoder;20;0.6585;0.8033;0.5246;0.8422
NonInvasiveFetalECGThorax1;encoder;100;0.1780;0.9394;0.2228;0.9155
NonInvasiveFetalECGThorax1;encoder;500;0.0176;0.9961;0.2050;0.9374
NonInvasiveFetalECGThorax1;encoder;1000;0.0014;1.0000;0.2329;0.9384
NonInvasiveFetalECGThorax2;inception;20;1.3023;0.7544;8.6407;0.0249
NonInvasiveFetalECGThorax2;inception;100;0.3347;0.9117;0.9777;0.6804
NonInvasiveFetalECGThorax2;inception;500;0.0478;0.9889;0.1965;0.9303
NonInvasiveFetalECGThorax2;inception;1000;0.0151;0.9989;0.1663;0.9486
NonInvasiveFetalECGThorax2;cnn;20;1.9785;0.5067;4.4939;0.0682
NonInvasiveFetalECGThorax2;cnn;100;0.5030;0.8828;18.0514;0.0473
NonInvasiveFetalECGThorax2;cnn;500;0.1116;0.9694;0.7605;0.7796
NonInvasiveFetalECGThorax2;cnn;1000;0.0206;0.9983;0.1875;0.9445
NonInvasiveFetalECGThorax2;resnet;20;0.4930;0.8944;1.2708;0.6000
NonInvasiveFetalECGThorax2;resnet;100;0.0830;0.9806;0.2332;0.9237
NonInvasiveFetalECGThorax2;resnet;500;0.0037;0.9994;0.2263;0.9369
NonInvasiveFetalECGThorax2;resnet;1000;0.0022;0.9994;0.1769;0.9476
NonInvasiveFetalECGThorax2;encoder;20;0.5383;0.8333;0.4264;0.8550
NonInvasiveFetalECGThorax2;encoder;100;0.1348;0.9550;0.2440;0.9038
NonInvasiveFetalECGThorax2;encoder;500;0.0096;0.9967;0.1854;0.9425
NonInvasiveFetalECGThorax2;encoder;1000;0.0029;0.9994;0.2238;0.9450
OliveOil;inception;20;1.1995;0.4333;1.8143;0.4000
OliveOil;inception;100;0.8646;0.6667;7.2486;0.1333
