classifier_name,dataset_name,accuracy
Resnet_100_all,ChlorineConcentration,0.542708333333333
Encoder_100_none,ChlorineConcentration,0.80234375
Encoder_100_all,ChlorineConcentration,0.55859375
Inception_100_none,ChlorineConcentration,0.757552083333333
Inception_100_all,ChlorineConcentration,0.559114583333333
Cnn_1000_none,ChlorineConcentration,0.8234375
Cnn_1000_all,ChlorineConcentration,0.564322916666667
Resnet_1000_none,ChlorineConcentration,0.860677083333333
Resnet_1000_all,ChlorineConcentration,0.561979166666667
Encoder_1000_none,ChlorineConcentration,0.851302083333333
Encoder_1000_all,ChlorineConcentration,0.599479166666667
Inception_1000_none,ChlorineConcentration,0.857552083333333
Inception_1000_all,ChlorineConcentration,0.561458333333333
Cnn_100_none,CinCECGTorso,0.372463768115942
cnn_100_all,CinCECGTorso,0.404347826086956
Resnet_100_none,CinCECGTorso,0.76304347826087
Resnet_100_all,CinCECGTorso,0.342028985507246
Encoder_100_none,CinCECGTorso,0.915942028985507
Encoder_100_all,CinCECGTorso,0.860869565217391
Inception_100_none,CinCECGTorso,0.266666666666667
Inception_100_all,CinCECGTorso,0.381159420289855
Cnn_1000_none,CinCECGTorso,0.807246376811594
Cnn_1000_all,CinCECGTorso,0.539130434782609
Resnet_1000_none,CinCECGTorso,0.881884057971014
Resnet_1000_all,CinCECGTorso,0.510869565217391
Encoder_1000_none,CinCECGTorso,0.905072463768116
Encoder_1000_all,CinCECGTorso,0.842753623188406
Inception_1000_none,CinCECGTorso,0.842753623188406
Inception_1000_all,CinCECGTorso,0.561594202898551
Cnn_100_none,Coffee,0.821428571428571
cnn_100_all,Coffee,1
Resnet_100_none,Coffee,0.964285714285714
Resnet_100_all,Coffee,0.928571428571429
Encoder_100_none,Coffee,1
Encoder_100_all,Coffee,1
Inception_100_none,Coffee,0.607142857142857
Inception_100_all,Coffee,0.964285714285714
Cnn_1000_none,Coffee,1
Cnn_1000_all,Coffee,1
Resnet_1000_none,Coffee,1
Resnet_1000_all,Coffee,1
Encoder_1000_none,Coffee,1
Encoder_1000_all,Coffee,1
Inception_1000_none,Coffee,1
Inception_1000_all,Coffee,1
Cnn_100_none,Computers,0.816
cnn_100_all,Computers,0.736
Resnet_100_none,Computers,0.58
Resnet_100_all,Computers,0.752
Encoder_100_none,Computers,0.58
Encoder_100_all,Computers,0.568
Inception_100_none,Computers,0.788
Inception_100_all,Computers,0.7
Cnn_1000_none,Computers,0.804
Cnn_1000_all,Computers,0.8
Resnet_1000_none,Computers,0.756
Resnet_1000_all,Computers,0.788
Encoder_1000_none,Computers,0.584
Encoder_1000_all,Computers,0.56
Inception_1000_none,Computers,0.784
Inception_1000_all,Computers,0.736
Cnn_100_none,CricketX,0.82051282051282
cnn_100_all,CricketX,0.88974358974359
Resnet_100_none,CricketX,0.861538461538462
Resnet_100_all,CricketX,0.876923076923077
Encoder_100_none,CricketX,0.633333333333333
Encoder_100_all,CricketX,0.692307692307692
Inception_100_none,CricketX,0.776923076923077
Inception_100_all,CricketX,0.902564102564103
Cnn_1000_none,CricketX,0.815384615384615
Cnn_1000_all,CricketX,0.871794871794872
Resnet_1000_none,CricketX,0.838461538461539
Resnet_1000_all,CricketX,0.874358974358974
Encoder_1000_none,CricketX,0.676923076923077
Encoder_1000_all,CricketX,0.705128205128205
Inception_1000_none,CricketX,0.851282051282051
Inception_1000_all,CricketX,0.917948717948718
Cnn_100_none,CricketY,0.766666666666667
cnn_100_all,CricketY,0.484615384615385
Resnet_100_none,CricketY,0.787179487179487
Resnet_100_all,CricketY,0.464102564102564
Encoder_100_none,CricketY,0.643589743589744
Encoder_100_all,CricketY,0.551282051282051
Inception_100_none,CricketY,0.812820512820513
Inception_100_all,CricketY,0.47948717948718
Cnn_1000_none,CricketY,0.797435897435897
Cnn_1000_all,CricketY,0.612820512820513
Resnet_1000_none,CricketY,0.784615384615385
Resnet_1000_all,CricketY,0.548717948717949
Encoder_1000_none,CricketY,0.661538461538462
Encoder_1000_all,CricketY,0.584615384615385
Inception_1000_none,CricketY,0.843589743589744
Inception_1000_all,CricketY,0.68974358974359
Cnn_100_none,CricketZ,0.848717948717949
cnn_100_all,CricketZ,0.882051282051282
Resnet_100_none,CricketZ,0.887179487179487
Resnet_100_all,CricketZ,0.894871794871795
Encoder_100_none,CricketZ,0.674358974358974
Encoder_100_all,CricketZ,0.7
Inception_100_none,CricketZ,0.782051282051282
Inception_100_all,CricketZ,0.925641025641026
Cnn_1000_none,CricketZ,0.838461538461539
Cnn_1000_all,CricketZ,0.856410256410256
Resnet_1000_none,CricketZ,0.856410256410256
Resnet_1000_all,CricketZ,0.887179487179487
Encoder_1000_none,CricketZ,0.669230769230769
Encoder_1000_all,CricketZ,0.728205128205128
Inception_1000_none,CricketZ,0.853846153846154
Inception_1000_all,CricketZ,0.925641025641026
Cnn_100_none,DiatomSizeReduction,0.65359477124183
cnn_100_all,DiatomSizeReduction,0.712418300653595
Resnet_100_none,DiatomSizeReduction,0.888888888888889
Resnet_100_all,DiatomSizeReduction,0.696078431372549
Encoder_100_none,DiatomSizeReduction,0.973856209150327
Encoder_100_all,DiatomSizeReduction,0.967320261437908
Inception_100_none,DiatomSizeReduction,0.640522875816993
Inception_100_all,DiatomSizeReduction,0.761437908496732
Cnn_1000_none,DiatomSizeReduction,0.901960784313726
Cnn_1000_all,DiatomSizeReduction,0.898692810457516
Resnet_1000_none,DiatomSizeReduction,0.934640522875817
Resnet_1000_all,DiatomSizeReduction,0.941176470588235
Encoder_1000_none,DiatomSizeReduction,0.973856209150327
Encoder_1000_all,DiatomSizeReduction,0.96078431372549
Inception_1000_none,DiatomSizeReduction,0.931372549019608
Inception_1000_all,DiatomSizeReduction,0.859477124183007
Cnn_100_none,DistalPhalanxOutlineAgeGroup,0.719424460431654
cnn_100_all,DistalPhalanxOutlineAgeGroup,0.79136690647482
Resnet_100_none,DistalPhalanxOutlineAgeGroup,0.76978417266187
Resnet_100_all,DistalPhalanxOutlineAgeGroup,0.784172661870504
Encoder_100_none,DistalPhalanxOutlineAgeGroup,0.733812949640288
Encoder_100_all,DistalPhalanxOutlineAgeGroup,0.798561151079137
Inception_100_none,DistalPhalanxOutlineAgeGroup,0.661870503597122
Inception_100_all,DistalPhalanxOutlineAgeGroup,0.755395683453237
Cnn_1000_none,DistalPhalanxOutlineAgeGroup,0.712230215827338
Cnn_1000_all,DistalPhalanxOutlineAgeGroup,0.79136690647482
Resnet_1000_none,DistalPhalanxOutlineAgeGroup,0.755395683453237
Resnet_1000_all,DistalPhalanxOutlineAgeGroup,0.762589928057554
Encoder_1000_none,DistalPhalanxOutlineAgeGroup,0.762589928057554
Encoder_1000_all,DistalPhalanxOutlineAgeGroup,0.798561151079137
Inception_1000_none,DistalPhalanxOutlineAgeGroup,0.719424460431654
Inception_1000_all,DistalPhalanxOutlineAgeGroup,0.776978417266187
Cnn_100_none,DistalPhalanxOutlineCorrect,0.742753623188406
cnn_100_all,DistalPhalanxOutlineCorrect,0.702898550724638
Resnet_100_none,DistalPhalanxOutlineCorrect,0.760869565217391
Resnet_100_all,DistalPhalanxOutlineCorrect,0.735507246376812
Encoder_100_none,DistalPhalanxOutlineCorrect,0.782608695652174
Encoder_100_all,DistalPhalanxOutlineCorrect,0.746376811594203
Inception_100_none,DistalPhalanxOutlineCorrect,0.77536231884058
Inception_100_all,DistalPhalanxOutlineCorrect,0.663043478260869
Cnn_1000_none,DistalPhalanxOutlineCorrect,0.764492753623188
Cnn_1000_all,DistalPhalanxOutlineCorrect,0.793478260869565
Resnet_1000_none,DistalPhalanxOutlineCorrect,0.746376811594203
Resnet_1000_all,DistalPhalanxOutlineCorrect,0.753623188405797
Encoder_1000_none,DistalPhalanxOutlineCorrect,0.77536231884058
