model;pre_trained_set;training_set;num_frozen_layers;epochs;accuracy
ENCODER;SyntheticControl;FaceAll;0;1000;0.7840236686390533
ENCODER;SyntheticControl;FaceAll;22;1000;0.7822485207100591
INCEPTION;SyntheticControl;FaceAll;0;1000;0.8088757396449704
INCEPTION;SyntheticControl;FaceAll;63;1000;0.7307692307692307
CNN;ShapesAll;FaceFour;0;100;0.5681818181818182
CNN;ShapesAll;FaceFour;11;100;0.3522727272727273
RESNET;ShapesAll;FaceFour;0;100;0.9545454545454546
RESNET;ShapesAll;FaceFour;37;100;0.625
ENCODER;ShapesAll;FaceFour;0;100;0.8636363636363636
ENCODER;ShapesAll;FaceFour;22;100;0.8636363636363636
INCEPTION;ShapesAll;FaceFour;0;100;0.8295454545454546
INCEPTION;ShapesAll;FaceFour;63;100;0.5454545454545454
CNN;ShapesAll;FaceFour;0;1000;0.9204545454545454
CNN;ShapesAll;FaceFour;11;1000;0.6704545454545454
RESNET;ShapesAll;FaceFour;0;1000;0.9545454545454546
RESNET;ShapesAll;FaceFour;37;1000;0.7272727272727273
ENCODER;ShapesAll;FaceFour;0;1000;0.8636363636363636
ENCODER;ShapesAll;FaceFour;22;1000;0.8636363636363636
INCEPTION;ShapesAll;FaceFour;0;1000;0.9545454545454546
INCEPTION;ShapesAll;FaceFour;63;1000;0.7045454545454546
CNN;SyntheticControl;FacesUCR;0;100;0.9307317073170732
CNN;SyntheticControl;FacesUCR;11;100;0.5029268292682927
RESNET;SyntheticControl;FacesUCR;0;100;0.9526829268292683
RESNET;SyntheticControl;FacesUCR;37;100;0.7360975609756097
ENCODER;SyntheticControl;FacesUCR;0;100;0.9097560975609756
ENCODER;SyntheticControl;FacesUCR;22;100;0.8897560975609756
INCEPTION;SyntheticControl;FacesUCR;0;100;0.9473170731707317
INCEPTION;SyntheticControl;FacesUCR;63;100;0.4721951219512195
CNN;SyntheticControl;FacesUCR;0;1000;0.9478048780487804
CNN;SyntheticControl;FacesUCR;11;1000;0.7546341463414634
RESNET;SyntheticControl;FacesUCR;0;1000;0.9541463414634146
RESNET;SyntheticControl;FacesUCR;37;1000;0.8458536585365853
ENCODER;SyntheticControl;FacesUCR;0;1000;0.9126829268292683
ENCODER;SyntheticControl;FacesUCR;22;1000;0.8995121951219512
INCEPTION;SyntheticControl;FacesUCR;0;1000;0.9653658536585366
INCEPTION;SyntheticControl;FacesUCR;63;1000;0.8063414634146342
CNN;FordB;FordA;0;100;0.9090909090909091
CNN;FordB;FordA;11;100;0.896969696969697
RESNET;FordB;FordA;0;100;0.9424242424242424
RESNET;FordB;FordA;37;100;0.9265151515151515
ENCODER;FordB;FordA;0;100;0.9409090909090909
ENCODER;FordB;FordA;22;100;0.9121212121212121
INCEPTION;FordB;FordA;0;100;0.9568181818181818
INCEPTION;FordB;FordA;63;100;0.9401515151515152
CNN;FordB;FordA;0;1000;0.9204545454545454
CNN;FordB;FordA;11;1000;0.9136363636363637
RESNET;FordB;FordA;0;1000;0.9393939393939394
RESNET;FordB;FordA;37;1000;0.9265151515151515
ENCODER;FordB;FordA;0;1000;0.9424242424242424
ENCODER;FordB;FordA;22;1000;0.9136363636363637
INCEPTION;FordB;FordA;0;1000;0.9583333333333334
INCEPTION;FordB;FordA;63;1000;0.9424242424242424
CNN;FordA;FordB;0;100;0.7432098765432099
CNN;FordA;FordB;11;100;0.7691358024691358
RESNET;FordA;FordB;0;100;0.8049382716049382
RESNET;FordA;FordB;37;100;0.7950617283950617
ENCODER;FordA;FordB;0;100;0.7987654320987654
ENCODER;FordA;FordB;22;100;0.7617283950617284
INCEPTION;FordA;FordB;0;100;0.8555555555555555
INCEPTION;FordA;FordB;63;100;0.8197530864197531
CNN;FordA;FordB;0;1000;0.7901234567901234
CNN;FordA;FordB;11;1000;0.7728395061728395
RESNET;FordA;FordB;0;1000;0.8098765432098766
RESNET;FordA;FordB;37;1000;0.8148148148148148
ENCODER;FordA;FordB;0;1000;0.8012345679012346
ENCODER;FordA;FordB;22;1000;0.7604938271604939
INCEPTION;FordA;FordB;0;1000;0.8555555555555555
INCEPTION;FordA;FordB;63;1000;0.8123456790123457
CNN;UWaveGestureLibraryY;GunPoint;0;100;0.98
CNN;UWaveGestureLibraryY;GunPoint;11;100;0.9533333333333334
RESNET;UWaveGestureLibraryY;GunPoint;0;100;1.0
RESNET;UWaveGestureLibraryY;GunPoint;37;100;0.98
ENCODER;UWaveGestureLibraryY;GunPoint;0;100;0.98
ENCODER;UWaveGestureLibraryY;GunPoint;22;100;0.9533333333333334
INCEPTION;UWaveGestureLibraryY;GunPoint;0;100;0.56
INCEPTION;UWaveGestureLibraryY;GunPoint;63;100;0.8933333333333333
CNN;UWaveGestureLibraryY;GunPoint;0;1000;1.0
CNN;UWaveGestureLibraryY;GunPoint;11;1000;0.9733333333333334
RESNET;UWaveGestureLibraryY;GunPoint;0;1000;1.0
RESNET;UWaveGestureLibraryY;GunPoint;37;1000;0.9933333333333333
ENCODER;UWaveGestureLibraryY;GunPoint;0;1000;0.98
ENCODER;UWaveGestureLibraryY;GunPoint;22;1000;0.96
INCEPTION;UWaveGestureLibraryY;GunPoint;0;1000;0.9866666666666667
INCEPTION;UWaveGestureLibraryY;GunPoint;63;1000;0.9866666666666667
CNN;WordSynonyms;Ham;0;100;0.5428571428571428
CNN;WordSynonyms;Ham;11;100;0.638095238095238
RESNET;WordSynonyms;Ham;0;100;0.7714285714285715
RESNET;WordSynonyms;Ham;37;100;0.638095238095238
ENCODER;WordSynonyms;Ham;0;100;0.6857142857142857
ENCODER;WordSynonyms;Ham;22;100;0.6857142857142857
INCEPTION;WordSynonyms;Ham;0;100;0.7714285714285715
INCEPTION;WordSynonyms;Ham;63;100;0.7428571428571429
CNN;WordSynonyms;Ham;0;1000;0.7619047619047619
CNN;WordSynonyms;Ham;11;1000;0.6571428571428571
RESNET;WordSynonyms;Ham;0;1000;0.8380952380952381
RESNET;WordSynonyms;Ham;37;1000;0.6952380952380952
ENCODER;WordSynonyms;Ham;0;1000;0.7238095238095238
ENCODER;WordSynonyms;Ham;22;1000;0.6952380952380952
INCEPTION;WordSynonyms;Ham;0;1000;0.6952380952380952
INCEPTION;WordSynonyms;Ham;63;1000;0.780952380952381
CNN;FiftyWords;HandOutlines;0;100;0.572972972972973
CNN;FiftyWords;HandOutlines;11;100;0.6675675675675675
RESNET;FiftyWords;HandOutlines;0;100;0.8837837837837837
RESNET;FiftyWords;HandOutlines;37;100;0.6756756756756757
ENCODER;FiftyWords;HandOutlines;0;100;0.8837837837837837
ENCODER;FiftyWords;HandOutlines;22;100;0.8918918918918919
INCEPTION;FiftyWords;HandOutlines;0;100;0.6864864864864865
INCEPTION;FiftyWords;HandOutlines;63;100;0.6459459459459459
CNN;FiftyWords;HandOutlines;0;1000;0.7432432432432432
CNN;FiftyWords;HandOutlines;11;1000;0.7135135135135136
RESNET;FiftyWords;HandOutlines;0;1000;0.9324324324324325
RESNET;FiftyWords;HandOutlines;37;1000;0.6945945945945946
ENCODER;FiftyWords;HandOutlines;0;1000;0.9
ENCODER;FiftyWords;HandOutlines;22;1000;0.8837837837837837
INCEPTION;FiftyWords;HandOutlines;0;1000;0.9459459459459459
INCEPTION;FiftyWords;HandOutlines;63;1000;0.7108108108108108
CNN;WordSynonyms;Haptics;0;100;0.2597402597402597
CNN;WordSynonyms;Haptics;11;100;0.34415584415584416
RESNET;WordSynonyms;Haptics;0;100;0.5194805194805194
RESNET;WordSynonyms;Haptics;37;100;0.36363636363636365
ENCODER;WordSynonyms;Haptics;0;100;0.39935064935064934
ENCODER;WordSynonyms;Haptics;22;100;0.4675324675324675
INCEPTION;WordSynonyms;Haptics;0;100;0.44155844155844154
INCEPTION;WordSynonyms;Haptics;63;100;0.31493506493506496
CNN;WordSynonyms;Haptics;0;1000;0.487012987012987
CNN;WordSynonyms;Haptics;11;1000;0.42857142857142855
RESNET;WordSynonyms;Haptics;0;1000;0.5487012987012987
RESNET;WordSynonyms;Haptics;37;1000;0.4090909090909091
ENCODER;WordSynonyms;Haptics;0;1000;0.4025974025974026
ENCODER;WordSynonyms;Haptics;22;1000;0.4577922077922078
INCEPTION;WordSynonyms;Haptics;0;1000;0.538961038961039
INCEPTION;WordSynonyms;Haptics;63;1000;0.41233766233766234
CNN;Fish;Herring;0;100;0.40625
CNN;Fish;Herring;11;100;0.640625
RESNET;Fish;Herring;0;100;0.640625
RESNET;Fish;Herring;37;100;0.6875
ENCODER;Fish;Herring;0;100;0.546875
ENCODER;Fish;Herring;22;100;0.53125
INCEPTION;Fish;Herring;0;100;0.546875
INCEPTION;Fish;Herring;63;100;0.625
CNN;Fish;Herring;0;1000;0.625
CNN;Fish;Herring;11;1000;0.65625
RESNET;Fish;Herring;0;1000;0.671875
RESNET;Fish;Herring;37;1000;0.671875
ENCODER;Fish;Herring;0;1000;0.53125
ENCODER;Fish;Herring;22;1000;0.515625
INCEPTION;Fish;Herring;0;1000;0.734375
INCEPTION;Fish;Herring;63;1000;0.703125
CNN;ShapesAll;InlineSkate;0;100;0.16727272727272727
CNN;ShapesAll;InlineSkate;11;100;0.27090909090909093
RESNET;ShapesAll;InlineSkate;0;100;0.3236363636363636
RESNET;ShapesAll;InlineSkate;37;100;0.29818181818181816
ENCODER;ShapesAll;InlineSkate;0;100;0.2581818181818182
ENCODER;ShapesAll;InlineSkate;22;100;0.21818181818181817
INCEPTION;ShapesAll;InlineSkate;0;100;0.17454545454545456
INCEPTION;ShapesAll;InlineSkate;63;100;0.23636363636363636
CNN;ShapesAll;InlineSkate;0;1000;0.34
CNN;ShapesAll;InlineSkate;11;1000;0.31636363636363635
RESNET;ShapesAll;InlineSkate;0;1000;0.37272727272727274
RESNET;ShapesAll;InlineSkate;37;1000;0.33454545454545453
ENCODER;ShapesAll;InlineSkate;0;1000;0.26545454545454544
ENCODER;ShapesAll;InlineSkate;22;1000;0.24181818181818182
INCEPTION;ShapesAll;InlineSkate;0;1000;0.47454545454545455
INCEPTION;ShapesAll;InlineSkate;63;1000;0.31636363636363635
CNN;StarLightCurves;InsectWingbeatSound;0;100;0.3691919191919192
CNN;StarLightCurves;InsectWingbeatSound;11;100;0.28484848484848485
RESNET;StarLightCurves;InsectWingbeatSound;0;100;0.47929292929292927
RESNET;StarLightCurves;InsectWingbeatSound;37;100;0.3429292929292929
ENCODER;StarLightCurves;InsectWingbeatSound;0;100;0.6287878787878788
ENCODER;StarLightCurves;InsectWingbeatSound;22;100;0.6222222222222222
INCEPTION;StarLightCurves;InsectWingbeatSound;0;100;0.5974747474747475
INCEPTION;StarLightCurves;InsectWingbeatSound;63;100;0.49292929292929294
CNN;StarLightCurves;InsectWingbeatSound;0;1000;0.39090909090909093
CNN;StarLightCurves;InsectWingbeatSound;11;1000;0.3515151515151515
RESNET;StarLightCurves;InsectWingbeatSound;0;1000;0.47373737373737373
RESNET;StarLightCurves;InsectWingbeatSound;37;1000;0.42323232323232324
ENCODER;StarLightCurves;InsectWingbeatSound;0;1000;0.6434343434343435
ENCODER;StarLightCurves;InsectWingbeatSound;22;1000;0.6176767676767677
INCEPTION;StarLightCurves;InsectWingbeatSound;0;1000;0.6237373737373737
INCEPTION;StarLightCurves;InsectWingbeatSound;63;1000;0.5868686868686869
CNN;Trace;ItalyPowerDemand;0;100;0.9630709426627794
CNN;Trace;ItalyPowerDemand;11;100;0.8950437317784257
RESNET;Trace;ItalyPowerDemand;0;100;0.9620991253644315
RESNET;Trace;ItalyPowerDemand;37;100;0.93488824101069
ENCODER;Trace;ItalyPowerDemand;0;100;0.9552964042759962
ENCODER;Trace;ItalyPowerDemand;22;100;0.9659863945578231
INCEPTION;Trace;ItalyPowerDemand;0;100;0.966958211856171
INCEPTION;Trace;ItalyPowerDemand;63;100;0.750242954324587
CNN;Trace;ItalyPowerDemand;0;1000;0.9601554907677357
CNN;Trace;ItalyPowerDemand;11;1000;0.9455782312925171
RESNET;Trace;ItalyPowerDemand;0;1000;0.9552964042759962
RESNET;Trace;ItalyPowerDemand;37;1000;0.9582118561710399
ENCODER;Trace;ItalyPowerDemand;0;1000;0.9611273080660836
ENCODER;Trace;ItalyPowerDemand;22;1000;0.966958211856171
INCEPTION;Trace;ItalyPowerDemand;0;1000;0.9591836734693877
INCEPTION;Trace;ItalyPowerDemand;63;1000;0.9455782312925171
CNN;Lightning7;LargeKitchenAppliances;0;100;0.8906666666666667
CNN;Lightning7;LargeKitchenAppliances;11;100;0.7333333333333333
RESNET;Lightning7;LargeKitchenAppliances;0;100;0.8933333333333333
RESNET;Lightning7;LargeKitchenAppliances;37;100;0.7706666666666667
ENCODER;Lightning7;LargeKitchenAppliances;0;100;0.5626666666666666
ENCODER;Lightning7;LargeKitchenAppliances;22;100;0.45066666666666666
INCEPTION;Lightning7;LargeKitchenAppliances;0;100;0.8853333333333333
INCEPTION;Lightning7;LargeKitchenAppliances;63;100;0.752
CNN;Lightning7;LargeKitchenAppliances;0;1000;0.8933333333333333
CNN;Lightning7;LargeKitchenAppliances;11;1000;0.776
RESNET;Lightning7;LargeKitchenAppliances;0;1000;0.9093333333333333
RESNET;Lightning7;LargeKitchenAppliances;37;1000;0.8373333333333334
ENCODER;Lightning7;LargeKitchenAppliances;0;1000;0.6213333333333333
ENCODER;Lightning7;LargeKitchenAppliances;22;1000;0.4533333333333333
INCEPTION;Lightning7;LargeKitchenAppliances;0;1000;0.896
INCEPTION;Lightning7;LargeKitchenAppliances;63;1000;0.8373333333333334
CNN;Lightning7;Lightning2;0;100;0.6557377049180327
CNN;Lightning7;Lightning2;11;100;0.7213114754098361
RESNET;Lightning7;Lightning2;0;100;0.7868852459016393
RESNET;Lightning7;Lightning2;37;100;0.8360655737704918
ENCODER;Lightning7;Lightning2;0;100;0.6721311475409836
ENCODER;Lightning7;Lightning2;22;100;0.5737704918032787
INCEPTION;Lightning7;Lightning2;0;100;0.8524590163934426
INCEPTION;Lightning7;Lightning2;63;100;0.7868852459016393
CNN;Lightning7;Lightning2;0;1000;0.7377049180327869
CNN;Lightning7;Lightning2;11;1000;0.7704918032786885
RESNET;Lightning7;Lightning2;0;1000;0.8032786885245902
RESNET;Lightning7;Lightning2;37;1000;0.819672131147541
ENCODER;Lightning7;Lightning2;0;1000;0.7213114754098361
ENCODER;Lightning7;Lightning2;22;1000;0.6229508196721312
INCEPTION;Lightning7;Lightning2;0;1000;0.8360655737704918
INCEPTION;Lightning7;Lightning2;63;1000;0.8360655737704918
CNN;FiftyWords;Lightning7;0;100;0.7808219178082192
CNN;FiftyWords;Lightning7;11;100;0.5753424657534246
RESNET;FiftyWords;Lightning7;0;100;0.821917808219178
RESNET;FiftyWords;Lightning7;37;100;0.6575342465753424
ENCODER;FiftyWords;Lightning7;0;100;0.6164383561643836
ENCODER;FiftyWords;Lightning7;22;100;0.6164383561643836
INCEPTION;FiftyWords;Lightning7;0;100;0.6438356164383562
INCEPTION;FiftyWords;Lightning7;63;100;0.6301369863013698
CNN;FiftyWords;Lightning7;0;1000;0.863013698630137
CNN;FiftyWords;Lightning7;11;1000;0.6164383561643836
RESNET;FiftyWords;Lightning7;0;1000;0.821917808219178
RESNET;FiftyWords;Lightning7;37;1000;0.7808219178082192
ENCODER;FiftyWords;Lightning7;0;1000;0.6164383561643836
ENCODER;FiftyWords;Lightning7;22;1000;0.5753424657534246
INCEPTION;FiftyWords;Lightning7;0;1000;0.8082191780821918
INCEPTION;FiftyWords;Lightning7;63;1000;0.7123287671232876
CNN;WordSynonyms;Mallat;0;100;0.8332622601279318
CNN;WordSynonyms;Mallat;11;100;0.5513859275053304
RESNET;WordSynonyms;Mallat;0;100;0.9547974413646055
RESNET;WordSynonyms;Mallat;37;100;0.7113006396588486
ENCODER;WordSynonyms;Mallat;0;100;0.8997867803837953
ENCODER;WordSynonyms;Mallat;22;100;0.8409381663113007
INCEPTION;WordSynonyms;Mallat;0;100;0.33304904051172707
INCEPTION;WordSynonyms;Mallat;63;100;0.41321961620469083
CNN;WordSynonyms;Mallat;0;1000;0.9680170575692963
CNN;WordSynonyms;Mallat;11;1000;0.8865671641791045
RESNET;WordSynonyms;Mallat;0;1000;0.9654584221748401
RESNET;WordSynonyms;Mallat;37;1000;0.9138592750533049
ENCODER;WordSynonyms;Mallat;0;1000;0.9347547974413646
ENCODER;WordSynonyms;Mallat;22;1000;0.8695095948827292
INCEPTION;WordSynonyms;Mallat;0;1000;0.9462686567164179
INCEPTION;WordSynonyms;Mallat;63;1000;0.9147121535181236
CNN;Strawberry;Meat;0;100;0.3333333333333333
CNN;Strawberry;Meat;11;100;0.3333333333333333
RESNET;Strawberry;Meat;0;100;0.9166666666666666
RESNET;Strawberry;Meat;37;100;0.8
ENCODER;Strawberry;Meat;0;100;0.8833333333333333
ENCODER;Strawberry;Meat;22;100;0.8333333333333334
INCEPTION;Strawberry;Meat;0;100;0.3333333333333333
INCEPTION;Strawberry;Meat;63;100;0.36666666666666664
CNN;Strawberry;Meat;0;1000;0.95
CNN;Strawberry;Meat;11;1000;0.4
RESNET;Strawberry;Meat;0;1000;0.9666666666666667
RESNET;Strawberry;Meat;37;1000;0.8666666666666667
ENCODER;Strawberry;Meat;0;1000;0.8833333333333333
ENCODER;Strawberry;Meat;22;1000;0.85
INCEPTION;Strawberry;Meat;0;1000;0.9666666666666667
INCEPTION;Strawberry;Meat;63;1000;0.7166666666666667
CNN;PhalangesOutlinesCorrect;MedicalImages;0;100;0.7552631578947369
CNN;PhalangesOutlinesCorrect;MedicalImages;11;100;0.6236842105263158
RESNET;PhalangesOutlinesCorrect;MedicalImages;0;100;0.7381578947368421
RESNET;PhalangesOutlinesCorrect;MedicalImages;37;100;0.6263157894736842
ENCODER;PhalangesOutlinesCorrect;MedicalImages;0;100;0.7302631578947368
ENCODER;PhalangesOutlinesCorrect;MedicalImages;22;100;0.675
INCEPTION;PhalangesOutlinesCorrect;MedicalImages;0;100;0.7289473684210527
INCEPTION;PhalangesOutlinesCorrect;MedicalImages;63;100;0.5644736842105263
CNN;PhalangesOutlinesCorrect;MedicalImages;0;1000;0.7776315789473685
CNN;PhalangesOutlinesCorrect;MedicalImages;11;1000;0.6657894736842105
RESNET;PhalangesOutlinesCorrect;MedicalImages;0;1000;0.7526315789473684
RESNET;PhalangesOutlinesCorrect;MedicalImages;37;1000;0.7171052631578947
ENCODER;PhalangesOutlinesCorrect;MedicalImages;0;1000;0.7381578947368421
ENCODER;PhalangesOutlinesCorrect;MedicalImages;22;1000;0.7105263157894737
INCEPTION;PhalangesOutlinesCorrect;MedicalImages;0;1000;0.7460526315789474
INCEPTION;PhalangesOutlinesCorrect;MedicalImages;63;1000;0.6789473684210526
CNN;MiddlePhalanxTW;MiddlePhalanxOutlineAgeGroup;0;100;0.6038961038961039
CNN;MiddlePhalanxTW;MiddlePhalanxOutlineAgeGroup;11;100;0.7662337662337663
RESNET;MiddlePhalanxTW;MiddlePhalanxOutlineAgeGroup;0;100;0.6363636363636364
RESNET;MiddlePhalanxTW;MiddlePhalanxOutlineAgeGroup;37;100;0.7597402597402597
ENCODER;MiddlePhalanxTW;MiddlePhalanxOutlineAgeGroup;0;100;0.5974025974025974
ENCODER;MiddlePhalanxTW;MiddlePhalanxOutlineAgeGroup;22;100;0.5
INCEPTION;MiddlePhalanxTW;MiddlePhalanxOutlineAgeGroup;0;100;0.5844155844155844
INCEPTION;MiddlePhalanxTW;MiddlePhalanxOutlineAgeGroup;63;100;0.7532467532467533
CNN;MiddlePhalanxTW;MiddlePhalanxOutlineAgeGroup;0;1000;0.5909090909090909
CNN;MiddlePhalanxTW;MiddlePhalanxOutlineAgeGroup;11;1000;0.7597402597402597
RESNET;MiddlePhalanxTW;MiddlePhalanxOutlineAgeGroup;0;1000;0.5584415584415584
RESNET;MiddlePhalanxTW;MiddlePhalanxOutlineAgeGroup;37;1000;0.7662337662337663
ENCODER;MiddlePhalanxTW;MiddlePhalanxOutlineAgeGroup;0;1000;0.5844155844155844
ENCODER;MiddlePhalanxTW;MiddlePhalanxOutlineAgeGroup;22;1000;0.5844155844155844
INCEPTION;MiddlePhalanxTW;MiddlePhalanxOutlineAgeGroup;0;1000;0.577922077922078
INCEPTION;MiddlePhalanxTW;MiddlePhalanxOutlineAgeGroup;63;1000;0.7467532467532467
CNN;MiddlePhalanxOutlineAgeGroup;MiddlePhalanxOutlineCorrect;0;100;0.8281786941580757
CNN;MiddlePhalanxOutlineAgeGroup;MiddlePhalanxOutlineCorrect;11;100;0.6701030927835051
RESNET;MiddlePhalanxOutlineAgeGroup;MiddlePhalanxOutlineCorrect;0;100;0.8178694158075601
RESNET;MiddlePhalanxOutlineAgeGroup;MiddlePhalanxOutlineCorrect;37;100;0.6185567010309279
ENCODER;MiddlePhalanxOutlineAgeGroup;MiddlePhalanxOutlineCorrect;0;100;0.7972508591065293
ENCODER;MiddlePhalanxOutlineAgeGroup;MiddlePhalanxOutlineCorrect;22;100;0.7491408934707904
INCEPTION;MiddlePhalanxOutlineAgeGroup;MiddlePhalanxOutlineCorrect;0;100;0.7766323024054983
INCEPTION;MiddlePhalanxOutlineAgeGroup;MiddlePhalanxOutlineCorrect;63;100;0.5876288659793815
CNN;MiddlePhalanxOutlineAgeGroup;MiddlePhalanxOutlineCorrect;0;1000;0.7766323024054983
CNN;MiddlePhalanxOutlineAgeGroup;MiddlePhalanxOutlineCorrect;11;1000;0.7766323024054983
RESNET;MiddlePhalanxOutlineAgeGroup;MiddlePhalanxOutlineCorrect;0;1000;0.8213058419243986
RESNET;MiddlePhalanxOutlineAgeGroup;MiddlePhalanxOutlineCorrect;37;1000;0.7525773195876289
ENCODER;MiddlePhalanxOutlineAgeGroup;MiddlePhalanxOutlineCorrect;0;1000;0.7972508591065293
ENCODER;MiddlePhalanxOutlineAgeGroup;MiddlePhalanxOutlineCorrect;22;1000;0.7766323024054983
INCEPTION;MiddlePhalanxOutlineAgeGroup;MiddlePhalanxOutlineCorrect;0;1000;0.8041237113402062
INCEPTION;MiddlePhalanxOutlineAgeGroup;MiddlePhalanxOutlineCorrect;63;1000;0.7766323024054983
CNN;MiddlePhalanxOutlineAgeGroup;MiddlePhalanxTW;0;100;0.44805194805194803
CNN;MiddlePhalanxOutlineAgeGroup;MiddlePhalanxTW;11;100;0.5974025974025974
RESNET;MiddlePhalanxOutlineAgeGroup;MiddlePhalanxTW;0;100;0.512987012987013
RESNET;MiddlePhalanxOutlineAgeGroup;MiddlePhalanxTW;37;100;0.5714285714285714
ENCODER;MiddlePhalanxOutlineAgeGroup;MiddlePhalanxTW;0;100;0.551948051948052
ENCODER;MiddlePhalanxOutlineAgeGroup;MiddlePhalanxTW;22;100;0.512987012987013
INCEPTION;MiddlePhalanxOutlineAgeGroup;MiddlePhalanxTW;0;100;0.5194805194805194
INCEPTION;MiddlePhalanxOutlineAgeGroup;MiddlePhalanxTW;63;100;0.6363636363636364
CNN;MiddlePhalanxOutlineAgeGroup;MiddlePhalanxTW;0;1000;0.538961038961039
CNN;MiddlePhalanxOutlineAgeGroup;MiddlePhalanxTW;11;1000;0.551948051948052
RESNET;MiddlePhalanxOutlineAgeGroup;MiddlePhalanxTW;0;1000;0.5064935064935064
RESNET;MiddlePhalanxOutlineAgeGroup;MiddlePhalanxTW;37;1000;0.564935064935065
ENCODER;MiddlePhalanxOutlineAgeGroup;MiddlePhalanxTW;0;1000;0.4935064935064935
ENCODER;MiddlePhalanxOutlineAgeGroup;MiddlePhalanxTW;22;1000;0.5909090909090909
INCEPTION;MiddlePhalanxOutlineAgeGroup;MiddlePhalanxTW;0;1000;0.5
INCEPTION;MiddlePhalanxOutlineAgeGroup;MiddlePhalanxTW;63;1000;0.6038961038961039
CNN;UWaveGestureLibraryY;MoteStrain;0;100;0.920926517571885
CNN;UWaveGestureLibraryY;MoteStrain;11;100;0.6837060702875399
RESNET;UWaveGestureLibraryY;MoteStrain;0;100;0.8801916932907349
RESNET;UWaveGestureLibraryY;MoteStrain;37;100;0.7340255591054313
ENCODER;UWaveGestureLibraryY;MoteStrain;0;100;0.8059105431309904
ENCODER;UWaveGestureLibraryY;MoteStrain;22;100;0.8162939297124601
INCEPTION;UWaveGestureLibraryY;MoteStrain;0;100;0.895367412140575
INCEPTION;UWaveGestureLibraryY;MoteStrain;63;100;0.7939297124600639
CNN;UWaveGestureLibraryY;MoteStrain;0;1000;0.9289137380191693
CNN;UWaveGestureLibraryY;MoteStrain;11;1000;0.7412140575079872
RESNET;UWaveGestureLibraryY;MoteStrain;0;1000;0.9297124600638977
RESNET;UWaveGestureLibraryY;MoteStrain;37;1000;0.8138977635782748
ENCODER;UWaveGestureLibraryY;MoteStrain;0;1000;0.8091054313099042
ENCODER;UWaveGestureLibraryY;MoteStrain;22;1000;0.8115015974440895
INCEPTION;UWaveGestureLibraryY;MoteStrain;0;1000;0.8793929712460063
INCEPTION;UWaveGestureLibraryY;MoteStrain;63;1000;0.860223642172524
CNN;NonInvasiveFetalECGThorax2;NonInvasiveFetalECGThorax1;0;100;0.051908396946564885
CNN;NonInvasiveFetalECGThorax2;NonInvasiveFetalECGThorax1;11;100;0.8987277353689568
RESNET;NonInvasiveFetalECGThorax2;NonInvasiveFetalECGThorax1;0;100;0.9424936386768448
RESNET;NonInvasiveFetalECGThorax2;NonInvasiveFetalECGThorax1;37;100;0.9012722646310433
ENCODER;NonInvasiveFetalECGThorax2;NonInvasiveFetalECGThorax1;0;100;0.8585241730279898
ENCODER;NonInvasiveFetalECGThorax2;NonInvasiveFetalECGThorax1;22;100;0.8783715012722646
INCEPTION;NonInvasiveFetalECGThorax2;NonInvasiveFetalECGThorax1;0;100;0.9511450381679389
INCEPTION;NonInvasiveFetalECGThorax2;NonInvasiveFetalECGThorax1;63;100;0.9104325699745547
CNN;NonInvasiveFetalECGThorax2;NonInvasiveFetalECGThorax1;0;1000;0.9572519083969465
CNN;NonInvasiveFetalECGThorax2;NonInvasiveFetalECGThorax1;11;1000;0.9241730279898219
RESNET;NonInvasiveFetalECGThorax2;NonInvasiveFetalECGThorax1;0;1000;0.9460559796437659
RESNET;NonInvasiveFetalECGThorax2;NonInvasiveFetalECGThorax1;37;1000;0.9119592875318067
ENCODER;NonInvasiveFetalECGThorax2;NonInvasiveFetalECGThorax1;0;1000;0.8778625954198473
ENCODER;NonInvasiveFetalECGThorax2;NonInvasiveFetalECGThorax1;22;1000;0.9287531806615776
INCEPTION;NonInvasiveFetalECGThorax2;NonInvasiveFetalECGThorax1;0;1000;0.9531806615776082
INCEPTION;NonInvasiveFetalECGThorax2;NonInvasiveFetalECGThorax1;63;1000;0.9297709923664123
CNN;NonInvasiveFetalECGThorax1;NonInvasiveFetalECGThorax2;0;100;0.8702290076335878
CNN;NonInvasiveFetalECGThorax1;NonInvasiveFetalECGThorax2;11;100;0.9211195928753181
RESNET;NonInvasiveFetalECGThorax1;NonInvasiveFetalECGThorax2;0;100;0.9465648854961832
RESNET;NonInvasiveFetalECGThorax1;NonInvasiveFetalECGThorax2;37;100;0.9236641221374046
ENCODER;NonInvasiveFetalECGThorax1;NonInvasiveFetalECGThorax2;0;100;0.917557251908397
ENCODER;NonInvasiveFetalECGThorax1;NonInvasiveFetalECGThorax2;22;100;0.9201017811704835
INCEPTION;NonInvasiveFetalECGThorax1;NonInvasiveFetalECGThorax2;0;100;0.9318066157760814
INCEPTION;NonInvasiveFetalECGThorax1;NonInvasiveFetalECGThorax2;63;100;0.9353689567430026
CNN;NonInvasiveFetalECGThorax1;NonInvasiveFetalECGThorax2;0;1000;0.95470737913486
CNN;NonInvasiveFetalECGThorax1;NonInvasiveFetalECGThorax2;11;1000;0.9323155216284987
RESNET;NonInvasiveFetalECGThorax1;NonInvasiveFetalECGThorax2;0;1000;0.9501272264631043
