model;pre_trained_set;training_set;num_frozen_layers;epochs;accuracy
CNN;ShapesAll;BirdChicken;0;1000;0.9
CNN;ShapesAll;BirdChicken;11;1000;1.0
RESNET;ShapesAll;BirdChicken;0;1000;0.9
RESNET;ShapesAll;BirdChicken;37;1000;1.0
ENCODER;ShapesAll;BirdChicken;0;1000;0.6
ENCODER;ShapesAll;BirdChicken;22;1000;0.7
INCEPTION;ShapesAll;BirdChicken;0;1000;0.9
INCEPTION;ShapesAll;BirdChicken;63;1000;1.0
CNN;GunPoint;CBF;0;100;0.9677777777777777
CNN;GunPoint;CBF;11;100;0.5533333333333333
RESNET;GunPoint;CBF;0;100;0.9755555555555555
RESNET;GunPoint;CBF;37;100;0.7688888888888888
ENCODER;GunPoint;CBF;0;100;0.9788888888888889
ENCODER;GunPoint;CBF;22;100;0.8755555555555555
INCEPTION;GunPoint;CBF;0;100;0.92
INCEPTION;GunPoint;CBF;63;100;0.87
CNN;GunPoint;CBF;0;1000;0.9922222222222222
CNN;GunPoint;CBF;11;1000;0.8911111111111111
RESNET;GunPoint;CBF;0;1000;0.9988888888888889
RESNET;GunPoint;CBF;37;1000;0.96
ENCODER;GunPoint;CBF;0;1000;0.9677777777777777
ENCODER;GunPoint;CBF;22;1000;0.8777777777777778
INCEPTION;GunPoint;CBF;0;1000;0.9988888888888889
INCEPTION;GunPoint;CBF;63;1000;0.9733333333333334
CNN;ShapesAll;Car;0;100;0.21666666666666667
CNN;ShapesAll;Car;11;100;0.7666666666666667
RESNET;ShapesAll;Car;0;100;0.9166666666666666
RESNET;ShapesAll;Car;37;100;0.75
ENCODER;ShapesAll;Car;0;100;0.8
ENCODER;ShapesAll;Car;22;100;0.7333333333333333
INCEPTION;ShapesAll;Car;0;100;0.7
INCEPTION;ShapesAll;Car;63;100;0.6666666666666666
CNN;ShapesAll;Car;0;1000;0.8833333333333333
CNN;ShapesAll;Car;11;1000;0.8833333333333333
RESNET;ShapesAll;Car;0;1000;0.9333333333333333
RESNET;ShapesAll;Car;37;1000;0.85
ENCODER;ShapesAll;Car;0;1000;0.8
ENCODER;ShapesAll;Car;22;1000;0.7166666666666667
INCEPTION;ShapesAll;Car;0;1000;0.9
INCEPTION;ShapesAll;Car;63;1000;0.85
CNN;MedicalImages;ChlorineConcentration;0;100;0.29791666666666666
CNN;MedicalImages;ChlorineConcentration;11;100;0.5596354166666667
RESNET;MedicalImages;ChlorineConcentration;0;100;0.8182291666666667
RESNET;MedicalImages;ChlorineConcentration;37;100;0.5427083333333333
ENCODER;MedicalImages;ChlorineConcentration;0;100;0.80234375
ENCODER;MedicalImages;ChlorineConcentration;22;100;0.55859375
INCEPTION;MedicalImages;ChlorineConcentration;0;100;0.7575520833333333
INCEPTION;MedicalImages;ChlorineConcentration;63;100;0.5591145833333333
CNN;MedicalImages;ChlorineConcentration;0;1000;0.8234375
CNN;MedicalImages;ChlorineConcentration;11;1000;0.5643229166666667
RESNET;MedicalImages;ChlorineConcentration;0;1000;0.8606770833333334
RESNET;MedicalImages;ChlorineConcentration;37;1000;0.5619791666666667
ENCODER;MedicalImages;ChlorineConcentration;0;1000;0.8513020833333333
ENCODER;MedicalImages;ChlorineConcentration;22;1000;0.5994791666666667
INCEPTION;MedicalImages;ChlorineConcentration;0;1000;0.8575520833333333
INCEPTION;MedicalImages;ChlorineConcentration;63;1000;0.5614583333333333
CNN;CricketY;CinCECGTorso;0;100;0.372463768115942
CNN;CricketY;CinCECGTorso;11;100;0.4043478260869565
RESNET;CricketY;CinCECGTorso;0;100;0.7630434782608696
RESNET;CricketY;CinCECGTorso;37;100;0.34202898550724636
ENCODER;CricketY;CinCECGTorso;0;100;0.9159420289855073
ENCODER;CricketY;CinCECGTorso;22;100;0.8608695652173913
INCEPTION;CricketY;CinCECGTorso;0;100;0.26666666666666666
INCEPTION;CricketY;CinCECGTorso;63;100;0.38115942028985506
CNN;CricketY;CinCECGTorso;0;1000;0.8072463768115942
CNN;CricketY;CinCECGTorso;11;1000;0.5391304347826087
RESNET;CricketY;CinCECGTorso;0;1000;0.8818840579710145
RESNET;CricketY;CinCECGTorso;37;1000;0.5108695652173914
ENCODER;CricketY;CinCECGTorso;0;1000;0.9050724637681159
ENCODER;CricketY;CinCECGTorso;22;1000;0.8427536231884057
INCEPTION;CricketY;CinCECGTorso;0;1000;0.8427536231884057
INCEPTION;CricketY;CinCECGTorso;63;1000;0.5615942028985508
CNN;FiftyWords;Coffee;0;100;0.8214285714285714
CNN;FiftyWords;Coffee;11;100;1.0
RESNET;FiftyWords;Coffee;0;100;0.9642857142857143
RESNET;FiftyWords;Coffee;37;100;0.9285714285714286
ENCODER;FiftyWords;Coffee;0;100;1.0
